央视,#genre#
CCTV14,http://123.145.17.178:8005/udp/225.0.4.128:7980
CCTV15,http://123.145.17.178:8005/udp/225.0.4.220:7980
CCTV17,http://123.145.17.178:8005/udp/225.0.4.179:7980
CCTV1,http://123.145.17.178:8004/udp/225.0.4.74:7980
CCTV2,http://123.145.17.178:8004/udp/225.0.4.132:7980
CCTV3,http://123.145.17.178:8004/udp/225.0.4.142:7980
CCTV4,http://123.145.17.178:8004/udp/225.0.4.176:7980
CCTV5,http://123.145.17.178:8004/udp/225.0.4.143:7980
CCTV5+,http://123.145.17.178:8004/udp/225.0.4.73:7980
CCTV6,http://123.145.17.178:8004/udp/225.0.4.144:7980
CCTV7,http://123.145.17.178:8004/udp/225.0.4.127:7980
CCTV8,http://123.145.17.178:8004/udp/225.0.4.137:7980
CCTV9,http://123.145.17.178:8004/udp/225.0.4.131:7980
CCTV10,http://123.145.17.178:8004/udp/225.0.4.130:7980
CCTV11,http://123.145.17.178:8004/udp/225.0.4.218:7980
CCTV12,http://123.145.17.178:8004/udp/225.0.4.129:7980
CCTV13,http://123.145.17.178:8004/udp/225.0.4.219:7980
CCTV14,http://123.145.17.178:8004/udp/225.0.4.128:7980
CCTV15,http://123.145.17.178:8004/udp/225.0.4.220:7980
CCTV17,http://123.145.17.178:8004/udp/225.0.4.179:7980
CCTV1,http://123.145.17.178:8003/udp/225.0.4.74:7980
CCTV2,http://123.145.17.178:8003/udp/225.0.4.132:7980
CCTV3,http://123.145.17.178:8003/udp/225.0.4.142:7980
CCTV4,http://123.145.17.178:8003/udp/225.0.4.176:7980
CCTV5,http://123.145.17.178:8003/udp/225.0.4.143:7980
CCTV5+,http://123.145.17.178:8003/udp/225.0.4.73:7980
CCTV6,http://123.145.17.178:8003/udp/225.0.4.144:7980
CCTV7,http://123.145.17.178:8003/udp/225.0.4.127:7980
CCTV8,http://123.145.17.178:8003/udp/225.0.4.137:7980
CCTV9,http://123.145.17.178:8003/udp/225.0.4.131:7980
CCTV10,http://123.145.17.178:8003/udp/225.0.4.130:7980
CCTV11,http://123.145.17.178:8003/udp/225.0.4.218:7980
CCTV12,http://123.145.17.178:8003/udp/225.0.4.129:7980
CCTV13,http://123.145.17.178:8003/udp/225.0.4.219:7980
CCTV14,http://123.145.17.178:8003/udp/225.0.4.128:7980
CCTV15,http://123.145.17.178:8003/udp/225.0.4.220:7980
CCTV17,http://123.145.17.178:8003/udp/225.0.4.179:7980
CCTV1,http://123.145.17.178:8001/udp/225.0.4.74:7980
CCTV2,http://123.145.17.178:8001/udp/225.0.4.132:7980
CCTV3,http://123.145.17.178:8001/udp/225.0.4.142:7980
CCTV4,http://123.145.17.178:8001/udp/225.0.4.176:7980
CCTV5,http://123.145.17.178:8001/udp/225.0.4.143:7980
CCTV5+,http://123.145.17.178:8001/udp/225.0.4.73:7980
CCTV6,http://123.145.17.178:8001/udp/225.0.4.144:7980
CCTV7,http://123.145.17.178:8001/udp/225.0.4.127:7980
CCTV8,http://123.145.17.178:8001/udp/225.0.4.137:7980
CCTV9,http://123.145.17.178:8001/udp/225.0.4.131:7980
CCTV10,http://123.145.17.178:8001/udp/225.0.4.130:7980
CCTV11,http://123.145.17.178:8001/udp/225.0.4.218:7980
CCTV12,http://123.145.17.178:8001/udp/225.0.4.129:7980
CCTV13,http://123.145.17.178:8001/udp/225.0.4.219:7980
CCTV14,http://123.145.17.178:8001/udp/225.0.4.128:7980
CCTV15,http://123.145.17.178:8001/udp/225.0.4.220:7980
CCTV17,http://123.145.17.178:8001/udp/225.0.4.179:7980
卫视,#genre#
湖南卫视,http://222.241.154.37:9901/tsfile/live/23019_1.m3u8
浙江卫视,http://222.241.154.37:9901/tsfile/live/23028_1.m3u8
江苏卫视,http://222.241.154.37:9901/tsfile/live/23029_1.m3u8
北京卫视,http://222.241.154.37:9901/tsfile/live/23030_1.m3u8
安徽卫视,http://222.241.154.37:9901/tsfile/live/23031_1.m3u8
天津卫视,http://222.241.154.37:9901/tsfile/live/23032_1.m3u8
东方卫视,http://222.241.154.37:9901/tsfile/live/23033_1.m3u8
江西卫视,http://222.241.154.37:9901/tsfile/live/23034_1.m3u8
深圳卫视,http://222.241.154.37:9901/tsfile/live/23035_1.m3u8
辽宁卫视,http://222.241.154.37:9901/tsfile/live/23036_1.m3u8
东南卫视,http://222.241.154.37:9901/tsfile/live/23037_1.m3u8
广东卫视,http://222.241.154.37:9901/tsfile/live/23038_1.m3u8
广西卫视,http://222.241.154.37:9901/tsfile/live/23039_1.m3u8
四川卫视,http://222.241.154.37:9901/tsfile/live/23041_1.m3u8
重庆卫视,http://222.241.154.37:9901/tsfile/live/23042_1.m3u8
云南卫视,http://222.241.154.37:9901/tsfile/live/23043_1.m3u8
河南卫视,http://222.241.154.37:9901/tsfile/live/23044_1.m3u8
黑龙江卫视,http://222.241.154.37:9901/tsfile/live/23045_1.m3u8
贵州卫视,http://222.241.154.37:9901/tsfile/live/23046_1.m3u8
陕西卫视,http://222.241.154.37:9901/tsfile/live/23048_1.m3u8
山西卫视,http://60.223.90.74:8002/rtp/226.0.2.11:8000
湖南卫视,http://60.223.90.74:8002/rtp/226.0.2.143:9056
浙江卫视,http://60.223.90.74:8002/rtp/226.0.2.144:9064
安徽卫视,http://60.223.90.74:8002/rtp/226.0.2.145:9072
广东卫视,http://60.223.90.74:8002/rtp/226.0.2.146:9080
深圳卫视,http://60.223.90.74:8002/rtp/226.0.2.147:9088
天津卫视,http://60.223.90.74:8002/rtp/226.0.2.148:9096
山东卫视,http://60.223.90.74:8002/rtp/226.0.2.149:9104
湖北卫视,http://60.223.90.74:8002/rtp/226.0.2.150:9112
黑龙江卫视,http://60.223.90.74:8002/rtp/226.0.2.151:9120
山西卫视,http://60.223.90.74:8002/rtp/226.0.2.152:9128
辽宁卫视,http://60.223.90.74:8002/rtp/226.0.2.173:9296
重庆卫视,http://60.223.90.74:8002/rtp/226.0.2.174:9304
东方卫视,http://60.223.90.74:8002/rtp/226.0.2.175:9312
江苏卫视,http://60.223.90.74:8002/rtp/226.0.2.176:9320
北京卫视,http://60.223.90.74:8002/rtp/226.0.2.177:9328
河北卫视,http://60.223.90.74:8002/rtp/226.0.2.178:9336
四川卫视,http://60.223.90.74:8002/rtp/226.0.2.179:9344
贵州卫视,http://60.223.90.74:8002/rtp/226.0.2.180:9352
湖南卫视,http://60.223.90.74:8002/rtp/226.0.2.33:8176
东方卫视,http://60.223.90.74:8002/rtp/226.0.2.34:8184
辽宁卫视,http://60.223.90.74:8002/rtp/226.0.2.35:8192
浙江卫视,http://60.223.90.74:8002/rtp/226.0.2.36:8200
安徽卫视,http://60.223.90.74:8002/rtp/226.0.2.37:8208
江苏卫视,http://60.223.90.74:8002/rtp/226.0.2.38:8216
